,area,demand,demand_met,energy_purchased,energy_sold,panel_area,pct_dem_met,population,reward_risk,storage,total_prod,wind_mills
0,1200.0,1.38888888889e-05,1.38888888889e-05,3833436.70674,0.0593503776462,200.0,0.082288121272,50000.0,2.96486614058,1000.0,861.460318165,0.0
0,1200.0,1.11111111111e-05,1.11111111111e-05,3834867.43759,0.170334450926,200.0,0.0808248588097,50000.0,2.9721408317,1100.0,861.855091607,0.0
0,1200.0,2.22222222222e-05,2.22222222222e-05,3835591.89118,0.0901417855487,200.0,0.0819655005769,50000.0,2.96939697065,1200.0,861.463800593,0.0
0,1200.0,1.11111111111e-05,1.11111111111e-05,3832534.60244,0.0,200.0,0.0806950543034,50000.0,2.96759714228,1300.0,861.749972167,0.0
0,1200.0,8.33333333333e-06,8.33333333333e-06,3834591.26383,0.0,200.0,0.0832762059499,50000.0,2.96692332899,1400.0,862.139511672,0.0
0,1200.0,1.94444444444e-05,1.94444444444e-05,3833034.09104,0.0264177168832,200.0,0.0818752564845,50000.0,2.96603667108,1500.0,861.805001157,0.0
0,1200.0,8.33333333333e-06,8.33333333333e-06,3835041.09209,0.0,200.0,0.0808634611845,50000.0,2.96535747121,1600.0,861.314169823,0.0
0,1200.0,5.55555555556e-06,5.55555555556e-06,3831835.57405,0.0,200.0,0.0806461934575,50000.0,2.96531357668,1700.0,861.872578337,0.0
0,1200.0,1.11111111111e-05,1.11111111111e-05,3832369.6309,1.09815783408,200.0,0.0811386344344,50000.0,2.97133912266,1800.0,861.889442334,0.0
0,1200.0,5.55555555556e-06,5.55555555556e-06,3832455.24437,0.0,200.0,0.0808741230268,50000.0,2.97066544982,1900.0,861.797136291,0.0
0,1200.0,1.94444444444e-05,1.94444444444e-05,3834707.10421,0.0,200.0,0.0808346229612,50000.0,2.96509225474,2000.0,861.063367825,0.0
0,1200.0,5.55555555556e-06,5.55555555556e-06,3834924.04457,0.0,200.0,0.078040337916,50000.0,2.96539257092,2100.0,861.424799292,0.0
0,1200.0,5.55555555556e-06,5.55555555556e-06,3831788.73403,0.0,200.0,0.0781171224443,50000.0,2.96797755091,2200.0,861.73743361,0.0
0,1200.0,1.94444444444e-05,1.94444444444e-05,3833835.07324,0.0,200.0,0.0806955921868,50000.0,2.96433219945,2300.0,861.113552599,0.0
0,1200.0,2.77777777778e-06,2.77777777778e-06,3834939.44846,0.0,200.0,0.0823515391876,50000.0,2.97354956675,2400.0,861.947605706,0.0
0,1300.0,2.77777777778e-05,2.77777777778e-05,3683440.10613,5.2082685311,300.0,0.121410502218,50000.0,2.96706374123,0.0,1292.45473254,0.0
0,1300.0,1.38888888889e-05,1.38888888889e-05,3680901.20558,2.43483320807,300.0,0.120619289592,50000.0,2.96377922879,100.0,1292.53216412,0.0
0,1300.0,4.16666666667e-05,4.16666666667e-05,3674435.4793,6.82009595753,300.0,0.121034313098,50000.0,2.97485776118,200.0,1293.50166974,0.0
0,1300.0,2.22222222222e-05,2.22222222222e-05,3679320.02947,3.40459139352,300.0,0.125815135638,50000.0,2.96068554613,300.0,1291.73168963,0.0
0,1300.0,3.33333333333e-05,3.33333333333e-05,3679677.88786,4.90033869131,300.0,0.122041411721,50000.0,2.97007037319,400.0,1292.58224408,0.0
0,1300.0,1.11111111111e-05,1.11111111111e-05,3681369.88209,0.0,300.0,0.124471118616,50000.0,2.97313320571,500.0,1291.85830567,0.0
0,1300.0,2.77777777778e-05,2.77777777778e-05,3677497.66638,4.18658312747,300.0,0.122651772758,50000.0,2.97510265643,600.0,1292.24919231,0.0
0,1300.0,2.5e-05,2.5e-05,3677157.53135,0.916282855256,300.0,0.12309573666,50000.0,2.96686040815,700.0,1292.23200426,0.0
0,1300.0,2.77777777778e-05,2.77777777778e-05,3679645.47953,0.906788610453,300.0,0.123289916315,50000.0,2.9725488749,800.0,1293.16979579,0.0
0,1300.0,1.38888888889e-05,1.38888888889e-05,3677437.02358,0.560498804239,300.0,0.121359065141,50000.0,2.97251307757,900.0,1291.7293108,0.0
0,1300.0,2.77777777778e-05,2.77777777778e-05,3677536.58667,1.06398802281,300.0,0.125299158027,50000.0,2.97331521751,1000.0,1292.18122376,0.0
0,1300.0,2.5e-05,2.5e-05,3676927.03107,0.0,300.0,0.117513741668,50000.0,2.96659504081,1100.0,1292.1041503,0.0
0,1300.0,2.5e-05,2.5e-05,3678624.83211,0.0,300.0,0.118655518118,50000.0,2.9705288915,1200.0,1292.26344606,0.0
0,1300.0,2.5e-05,2.5e-05,3677857.76993,0.217059497083,300.0,0.119422810363,50000.0,2.96535269528,1300.0,1292.3569055,0.0
0,1300.0,1.38888888889e-05,1.38888888889e-05,3681191.31175,0.0,300.0,0.121074753678,50000.0,2.96821746597,1400.0,1291.73854469,0.0
