DMU,(I)Pannel,(I)Wind,(I)Battery
1797,1281.3124156175,20.698123636898,2266.93735070788
1798,1276.14831699601,20.6147035822432,2355.96612368493
1799,1400,21,1500
1800,1392.40637597618,20.8860956396427,1591.32157254421
1801,1390.81977475736,20.8622966213604,1688.85258363394
1802,1391.47428372906,20.8721142559358,1789.0383647945
1803,1379.47320406963,20.6920980610445,1872.14220552307
1804,1371.85480330045,20.5778220495068,1959.7925761435
1805,1366.84583742864,20.5026875614296,2050.26875614296
1806,1362.42840910347,20.436426136552,2140.95892859116
1807,1357.91924325949,20.3687886488923,2230.86732821202
1808,1355.01690124261,20.3252535186392,2322.88611641591
1809,1496.28909149306,20.9480472809029,1097.27866709491
1810,1490.18248583484,20.8625548016878,1192.14598866788
1811,1483.69846386744,20.7717784941441,1285.87200201845
1812,1474.65441577365,20.645161820831,1376.34412138874
1813,1471.44823138425,20.6002752393795,1471.44823138425
1814,1466.68932484592,20.5336505478429,1564.46861316899
1815,1460.97896616021,20.4537055262429,1655.77616164824
1816,1454.4186631861,20.3618612846054,1745.30239582332
1817,1451.74134828351,20.3243788759692,1838.87237449245
1818,1443.88998067534,20.2144597294547,1925.18664090045
1819,1440.36368695004,20.1650916173005,2016.50916173005
1820,1435.24461863279,20.093424660859,2105.02544066142
1821,1432.15796923329,20.050211569266,2195.97555282437
1822,1425.09569386053,19.9513397140474,2280.15311017684
1823,1599.27192712344,20.9904440434952,599.726972671292
1824,1593.08074086477,20.9091847238501,696.972824128337
1825,1587.05935437437,20.8301540261635,793.529677187183
1826,1579.38547398417,20.7294343460423,888.404329116098
1827,1573.10173709847,20.6469602994175,983.188585686546
1828,1566.14729847187,20.5556832924433,1076.72626769941
1829,1560.26280051721,20.4784492567884,1170.19710038791
1830,1555.46817424092,20.4155197869121,1263.81789157075
1831,1548.74520196057,20.3272807757325,1355.1520517155
1832,1543.18669850518,20.2543254178804,1446.7375298486
1833,1538.76216649756,20.1962534352805,1538.76216649756
1834,1531.96879929159,20.1070904907021,1627.71684924732
1835,1528.93715524801,20.0673001626302,1720.05429965402
1836,1520.56540761191,19.9574209749064,1805.67142153915
1837,1516.0831941009,19.8985919225744,1895.10399262613
1838,1512.3310089958,19.8493444930699,1984.93444930699
1839,1505.19643512126,19.7557032109665,2069.64509829173
1840,1501.98408202631,19.7135410765953,2159.10211791282
1841,1496.77871975771,19.6452206968199,2245.16807963656
1842,1700,21,200
1843,1693.63046506178,20.9213175095867,298.875964422667
1844,1684.27531702135,20.8057539161461,396.300074593258
1845,1676.87929909677,20.7143913417836,493.19979385199
1846,1669.42665909221,20.6223293181979,589.209409091367
1847,1664.71166063004,20.5640852195476,685.469507318252
1848,1657.56336246123,20.4757827127564,780.029817628814
1849,1652.05241636965,20.4077063198603,874.615985136872
1850,1643.7705354829,20.3054007324358,966.923844401704
1851,1637.60203091626,20.2292015583774,1059.62484353405
1852,1629.81181125918,20.1329694332017,1150.45539618295
1853,1624.4947450823,20.0672880274872,1242.26068741587
1854,1620.84554792439,20.0222097096542,1334.81398064361
1855,1613.19195182198,19.9276652872127,1423.40466337233
1856,1607.65871823726,19.859313578225,1513.09055834095
1857,1601.58658616949,19.7843048879761,1601.58658616949
1858,1595.4152491623,19.708070724946,1689.26320499538
1859,1590.21502469584,19.6438326580075,1777.29914524829
1860,1583.79197051152,19.5644890474952,1863.28467119002
1861,1579.76708794683,19.5147699099315,1951.47699099315
1862,1574.14115872614,19.4452731372053,2037.12385246913
1863,1570.04061446173,19.3946193551155,2124.17259603646
1864,1564.39784128221,19.3249145099568,2208.56165828077
1865,1800,21,100
1866,1766.87701904887,20.6135652222368,196.319668783208
1867,1761.26654560346,20.548109698707,293.544424267243
1868,1751.46208669291,20.4337243447506,389.213797042869
1869,1746.64597351329,20.377536357655,485.179437087024
1870,1737.10969664328,20.2662797941716,579.036565547761
1871,1730.29682164515,20.1867962525267,672.893208417558
1872,1723.87988352298,20.1119319744347,766.168837121323
1873,1718.99177436705,20.0549040342822,859.495887183525
1874,1711.83859656474,19.9714502932553,951.021442535965
1875,1703.60806785292,19.8754274582841,1041.09381924345
1876,1699.79378520447,19.8309274940522,1133.19585680298
1877,1691.92089904271,19.7390771554983,1221.94287153085
1878,1687.79689783086,19.6909638080267,1312.73092053511
1879,1679.45259465675,19.5936136043288,1399.54382888063
1880,1677.22025887658,19.5675696868935,1490.86245233474
1881,1667.67226237432,19.456176394367,1575.02380335352
1882,1663.35260976605,19.4057804472706,1663.35260976605
1883,1657.9290317699,19.3425053706488,1750.03620020156
1884,1649.47085344391,19.2438266235123,1832.74539271546
1885,1644.83261369144,19.1897138264002,1918.97138264002
1886,1639.94375020785,19.1326770857583,2004.37569469849
1887,1633.3587454275,19.0558520299875,2087.06950804625
1888,1628.24000425992,18.9961333830324,2170.98667234656
1889,1898.85747950399,20.9873721418862,99.9398673423152
1890,1836.48871188097,20.298033131316,193.314601250629
1891,1828.14090393111,20.2057678855544,288.653826936491
1892,1819.14778613568,20.1063702678154,382.978481291723
1893,1812.30075442994,20.0306925489625,476.921251165773
1894,1805.98873925073,19.960928170666,570.312233447599
1895,1796.34511867557,19.8543407853616,661.811359512052
1896,1791.77171085924,19.8037925937073,754.430194045994
1897,1784.06792541623,19.7186454914425,845.084806776107
1898,1778.32921180233,19.655217604131,935.962743053858
1899,1770.49401038644,19.5686180095343,1025.02284811847
1900,1763.32828655251,19.4894179040014,1113.68102308579
1901,1755.7970364678,19.4061777714862,1201.33481442534
1902,1751.27456757226,19.3561925889565,1290.41283926377
1903,1746.41720891507,19.3025059932718,1378.75042809084
1904,1739.59452375352,19.2270973678021,1464.92170421349
1905,1732.7039883442,19.1509388185411,1550.31409483428
1906,1725.65946059016,19.0730782486281,1634.83527845384
1907,1721.1325049021,19.0230434752337,1721.1325049021
1908,1717.05947164357,18.9780257392184,1807.43102278271
1909,1706.84197117335,18.8650954708634,1886.50954708634
1910,1701.7830442697,18.8091810156124,1970.48563020702
1911,1696.64154760307,18.7523539471918,2053.8292418353
1912,1691.80207711392,18.698865062838,2137.01315003863
1913,2000,21,100
1914,1896.28423955348,19.9109845153116,189.628423955348
1915,1890.20421924821,19.8471443021062,283.530632887232
1916,1882.20983362126,19.7632032530232,376.441966724251
1917,1876.19929813254,19.7000926303917,469.049824533136
1918,1864.7788259581,19.58017767256,559.433647787429
1919,1860.27379041875,19.5328747993968,651.095826646561
1920,1855.29684388941,19.4806168608388,742.118737555764
1921,1845.83000890957,19.3812150935505,830.623504009305
1922,1840.43714135192,19.3245899841951,920.218570675959
1923,1834.37079729616,19.2608933716096,1008.90393851289
1924,1826.06100216493,19.1736405227318,1095.63660129896
1925,1820.02201859721,19.1102311952707,1183.01431208819
1926,1814.70847110747,19.0544389466285,1270.29592977523
1927,1809.34849387385,18.9981591856754,1357.01137040539
1928,1802.30284583635,18.9241798812817,1441.84227666908
1929,1794.59244718471,18.8432206954395,1525.403580107
1930,1788.06033985172,18.7746335684431,1609.25430586655
1931,1781.68657480192,18.7077090354202,1692.60224606182
1932,1775.97425962899,18.6477297261044,1775.97425962899
1933,1770.22194600693,18.5873304330728,1858.73304330728
1934,1762.92536548692,18.5107163376127,1939.21790203562
1935,1757.74300708769,18.4563015744207,2021.40445815084
1936,1752.02511449242,18.3962637021704,2102.4301373909
1937,2097.61557293655,20.9761557293655,99.8864558541215
1938,1960.57763980768,19.6057763980768,186.721679981684
1939,1951.44107376109,19.5144107376109,278.777296251584
1940,1943.18939468043,19.4318939468043,370.131313272462
1941,1937.12033539024,19.3712033539024,461.219127473866
1942,1929.86591292341,19.2986591292341,551.39026083526
1943,1922.61860601733,19.2261860601733,640.872868672444
1944,1915.62097352906,19.1562097352906,729.760370868213
1945,1909.06260546412,19.0906260546412,818.169688056053
1946,1902.54641197364,19.0254641197364,905.974481892208
1947,1893.48180232006,18.9348180232006,991.82380121527
1948,1887.49073237639,18.8749073237639,1078.56613278651
1949,1881.9727602829,18.819727602829,1165.03075636561
1950,1874.60083143088,18.7460083143088,1249.73388762059
1951,1869.02655417033,18.6902655417033,1335.01896726452
1952,1859.3399119686,18.593399119686,1416.63993292846
1953,1852.38651178644,18.5238651178644,1499.55098573188
1954,1847.27230194946,18.4727230194946,1583.37625881383
1955,1842.22197900874,18.4222197900874,1666.77226672219
1956,1836.05517460876,18.3605517460876,1748.62397581787
1957,1828.35699698426,18.2835699698426,1828.35699698426
1958,1822.34233144952,18.2234233144952,1909.12053770903
1959,1814.79357617303,18.1479357617303,1987.63105961808
1960,1809.28139030336,18.0928139030336,2067.7501603467
1961,2199.06779849123,20.9911017128708,99.9576272041466
1962,2021.30918036039,19.2943149034401,183.755380032763
1963,2011.71321207465,19.2027170243489,274.32452891927
1964,2004.33914857685,19.1323282364154,364.425299741246
1965,1995.2822573861,19.0458760932309,453.473240315022
1966,1987.70478417976,18.9735456671704,542.101304776298
1967,1981.15676605005,18.9110418577505,630.368061925017
1968,1972.39160779777,18.8273744380696,717.233311926461
1969,1966.82584121541,18.7742466661471,804.610571406305
1970,1958.76677181017,18.6973191854607,890.348532640985
1971,1952.8791460463,18.6411191213511,976.439573023152
1972,1942.96119706669,18.546447790182,1059.79701658183
1973,1936.6072060547,18.4857960577949,1144.35880357778
1974,1931.56504044814,18.4376662951868,1229.17775301245
1975,1923.57578727996,18.3614052422178,1311.5289458727
1976,1917.33646942618,18.3018481172499,1394.42652321904
1977,1908.43583981667,18.2168875618864,1474.70042167652
1978,1902.24993045864,18.157840245287,1556.38630673889
1979,1894.87086369249,18.0874036988828,1636.47938227988
1980,1890.38411653308,18.0445756578158,1718.53101503007
1981,1882.47691889863,17.9690978622142,1796.90978622142
1982,1876.60894587674,17.9130853924598,1876.60894587674
1983,1871.8626151347,17.8677795081039,1956.947279459
1984,1864.50766336761,17.7975731503271,2034.00836003739
1985,2300,21,100
1986,2076.96222905286,18.9635681783087,180.605411221988
1987,2068.33291514186,18.8847787904256,269.782554148938
1988,2058.739473729,18.7971864992648,358.041647605044
1989,2050.33786259187,18.7204761367084,445.725622302581
1990,2044.87384604974,18.6705872900194,533.44535114341
1991,2037.04506818995,18.599107144343,619.970238144768
1992,2028.70081201809,18.5229204575564,705.635065049769
1993,2022.88213148654,18.4697933744424,791.562573190387
1994,2015.62319161112,18.4035160973189,876.357909396138
1995,2009.28086622391,18.3456079090009,960.960414281002
1996,2002.03751377463,18.2794729518553,1044.54131153459
1997,1993.03084589987,18.1972381582162,1126.49569550862
1998,1986.11619452918,18.1341043848316,1208.94029232211
1999,1976.73839651022,18.048481011615,1289.17721511536
2000,1973.64700650876,18.0202552768191,1372.97183061479
2001,1963.11241829796,17.9240699061988,1450.99613526371
2002,1956.91188247493,17.8674563182494,1531.49625584995
2003,1949.90342212026,17.8034660280545,1610.78978349065
2004,1943.34793136911,17.7436115472832,1689.86776640793
2005,1937.99415075477,17.6947292025435,1769.47292025435
2006,1930.8496359083,17.6294966756845,1846.89965173837
2007,1922.93273954268,17.5572119697375,1922.93273954268
2008,1916.09397191574,17.4947710479263,1999.40240547729
2009,2400,21,100
2010,2129.84549951703,18.636148120774,177.487124959752
2011,2120.72962988301,18.5563842614763,265.091203735376
2012,2112.09396552315,18.4808221983276,352.015660920525
2013,2104.76105629826,18.4166592426097,438.491886728803
2014,2096.56434632696,18.3449380303609,524.14108658174
2015,2089.42912709233,18.2825048620579,609.416828735263
2016,2081.05494078794,18.2092307318945,693.684980262646
2017,2074.53456625631,18.1521774547427,777.950462346116
2018,2068.21806907244,18.0969081043838,861.757528780181
2019,2061.70914088688,18.0399549827602,944.950022906486
2020,2050.597958752,17.94273213908,1025.298979376
2021,2046.14690631805,17.903785430283,1108.32957425561
2022,2036.62606211667,17.8204780435208,1188.03186956805
2023,2029.79792530148,17.7607318463879,1268.62370331342
2024,2023.67777315398,17.7071805150973,1349.11851543599
2025,2013.89454191253,17.6215772417347,1426.50863385471
2026,2009.46317742148,17.582802802438,1507.09738306611
2027,2004.29713042484,17.5375998912174,1586.735228253
2028,1994.92845802051,17.4556240076794,1662.44038168376
2029,1988.01092086628,17.3950955575799,1739.50955575799
2030,1980.8801816598,17.3327015895233,1815.80683318815
2031,1975.09570233143,17.2820873954,1892.80004806762
2032,1966.97250512721,17.2110094198631,1966.97250512721
2033,1200,22,2200
2034,1193.61690444592,21.8829765815086,2287.76573352135
2035,1187.54932457093,21.7717376171338,2375.09864914187
2036,1300,22,1700
