DMU,panel_area,wind_mills,storage,demand_met,pct_dem_met,reward_risk,energy_purchased,energy_sold,population,total_prod,area
514,1900,14,1600,0.818933333333,0.928583153899,1.62345121179,232454.880408,3685772.89382,50000,20833.8814847,17900
515,1900,14,1700,0.8216,0.937440780143,1.6204644296,226821.322981,3687676.23159,50000,20851.3660366,17900
516,1900,14,1800,0.825247222222,0.949371615952,1.62345550165,222280.0963,3692209.68814,50000,20870.0368249,17900
517,1900,14,1900,0.828988888889,0.934080612148,1.62641169702,214932.972276,3684874.83322,50000,20854.9567579,17900
518,1900,14,2000,0.831619444444,0.914666570203,1.62231882537,210208.045488,3675268.83165,50000,20838.5722847,17900
519,1900,14,2100,0.833316666667,0.932460270762,1.62064830537,206890.176229,3681553.58967,50000,20851.1472738,17900
520,1900,14,2200,0.837691666667,0.924151940757,1.62301942611,201471.988351,3683675.41943,50000,20871.7935593,17900
521,1900,14,2300,0.840880555556,0.934354884882,1.61978587109,195957.142789,3684735.48475,50000,20884.8703618,17900
522,1900,14,2400,0.843377777778,0.938990046087,1.62503005466,192211.313205,3664858.06097,50000,20836.2898323,17900
523,2000,14,700,0.802988888889,0.942789457294,1.65152973593,263888.274628,3828425.84801,50000,21283.0761135,18000
524,2000,14,800,0.805941666667,0.937226493693,1.64693416146,258950.422114,3833739.7164,50000,21296.3467097,18000
525,2000,14,900,0.810105555556,0.935151894576,1.65731054087,251472.686903,3815269.72944,50000,21249.2600262,18000
526,2000,14,1000,0.81335,0.93610377038,1.64858482067,244346.181974,3832659.31331,50000,21304.5623737,18000
527,2000,14,1100,0.816463888889,0.943037843374,1.64995589471,239006.079232,3826818.14653,50000,21290.2789658,18000
528,2000,14,1200,0.819344444444,0.939317081709,1.6514221685,235097.896316,3826316.74339,50000,21295.8789078,18000
529,2000,14,1300,0.824558333333,0.938726266137,1.65020597106,224544.598009,3829743.43522,50000,21312.2892084,18000
530,2000,14,1400,0.827472222222,0.937322919696,1.65174835481,222205.80308,3827916.19144,50000,21307.3090615,18000
531,2000,14,1500,0.830041666667,0.932669774104,1.65494168818,216364.151719,3812405.97242,50000,21265.8803993,18000
532,2000,14,1600,0.832925,0.943032934526,1.64499931063,211469.002803,3814051.68521,50000,21272.5002358,18000
533,2000,14,1700,0.83515,0.937561855244,1.64834411906,207264.085693,3824880.92935,50000,21311.7553749,18000
534,2000,14,1800,0.839802777778,0.94712570797,1.65462074788,200762.776899,3800238.68104,50000,21251.3861426,18000
535,2000,14,1900,0.842605555556,0.918992709872,1.65157611427,194768.372516,3810730.11532,50000,21292.7758664,18000
536,2000,14,2000,0.8453,0.943415835971,1.65374770348,190569.771466,3813955.4536,50000,21310.8000427,18000
537,2000,14,2100,0.847713888889,0.945238639308,1.6421097945,186526.046327,3827957.03156,50000,21343.5463525,18000
538,2000,14,2200,0.851161111111,0.928995579498,1.65024697898,180883.738934,3800122.05762,50000,21277.5325605,18000
539,2000,14,2300,0.853752777778,0.944606140471,1.64591869837,177452.254476,3806805.75467,50000,21301.6562491,18000
540,2000,14,2400,0.856205555556,0.943723812505,1.64977325645,173078.107224,3792761.76792,50000,21271.9912449,18000
541,2100,14,300,0.802505555556,0.947007560726,1.67910824254,266663.913658,3960088.95747,50000,21707.3678944,18100
542,2100,14,400,0.807677777778,0.947911317064,1.68362102286,259718.156194,3953849.88622,50000,21697.973433,18100
543,2100,14,500,0.810580555556,0.92879170834,1.67610834573,254059.619822,3959398.46885,50000,21717.738364,18100
544,2100,14,600,0.81435,0.943412407717,1.67951797435,245862.291307,3955490.07708,50000,21705.5278934,18100
545,2100,14,700,0.817316666667,0.924706075817,1.67609760946,242160.657353,3975230.89446,50000,21754.6142999,18100
546,2100,14,800,0.820563888889,0.926595874964,1.6807969464,235558.99549,3946227.66838,50000,21688.2928811,18100
547,2100,14,900,0.824202777778,0.937570683755,1.68264575857,230591.483162,3955080.46215,50000,21709.2929603,18100
548,2100,14,1000,0.826361111111,0.94582638095,1.67509915014,225079.665926,3950886.42602,50000,21704.6469504,18100
549,2100,14,1100,0.831541666667,0.930775374874,1.68379472562,216324.764389,3955936.81322,50000,21726.622546,18100
550,2100,14,1200,0.832894444444,0.933493070184,1.67810766743,213448.444985,3960130.02684,50000,21736.3609291,18100
551,2100,14,1300,0.837925,0.953554047106,1.67974118417,206096.530734,3955537.28289,50000,21734.4366413,18100
552,2100,14,1400,0.840775,0.949355461443,1.67370647465,200856.364814,3956315.57666,50000,21732.1383557,18100
553,2100,14,1500,0.843541666667,0.941709002133,1.68493246049,194944.275726,3946477.01645,50000,21715.6864287,18100
554,2100,14,1600,0.846252777778,0.957733591865,1.67431381429,191829.781068,3956888.72145,50000,21739.4071474,18100
555,2100,14,1700,0.848869444444,0.941000562413,1.67851085153,188171.652017,3932692.60735,50000,21681.4073687,18100
