DMU,sy1,sy2,sy3
1168,0,0.0113848528161968,0.0643299983680984
1169,0,0.0134231029697992,0.0722917449649831
1170,0,0,0
1171,0,0,0
1172,0,0.00482007894222495,0.00617617196563069
1173,0,0.017059835501088,0.0126395894299884
1174,0,0.00964848932105651,0.0256413641883294
1175,0,0.0237804314189102,0.030963853627924198
1176,0,0.00034252508863951,0.0368583903914383
1177,0,0.0183618692054681,0.044141796233843
1178,0,0.0272713098897069,0.0457618701646717
1179,0,0.010351908440026,0.0454851971939326
1180,0,0.0286043049242924,0.0512972059759121
1181,0,0.0167918885450247,0.0623307181153024
1182,0,0.0252480923830859,0.0689224091187125
1183,0,0.00730166532615228,0.0692458928163405
1184,0,0.0366702386201379,0.0850271774494114
1185,0,0.0330027460769431,0.0915834893564818
1186,0,0,0
1187,0,0,0
1188,0,0,0.0136588550748168
1189,0,0.0106129935453958,0.0170977486566242
1190,0,0.0214500140868851,0.0232024645336156
1191,0,0.0107528561634084,0.0269814054013598
1192,0,0.0197493518619966,0.0326333276780766
1193,0,0.017246247988234,0.0369403938987044
1194,0,0.0277262616137767,0.0496315305814834
1195,0,0.0358982738597943,0.0501336952243482
1196,0,0.0400165029883495,0.0590557722681026
1197,0,0.0338036046639153,0.0598307715694237
1198,0,0.0461552271519268,0.0690521812953971
1199,0,0.040345740046199,0.0772837814390492
1200,0,0.0457922078455435,0.0754739632969392
1201,0,0.0404701116130792,0.0862079550862422
1202,0,0.0488110463371248,0.0911471794002334
1203,0,0.0480938464971358,0.100138024454701
1204,0,0.0398402761850224,0.107135651390946
1205,0,0.0457349443715971,0.108772441693842
1206,0,0.0416383246748117,0.122174981789877
1207,0,0,0
1208,0,0.00182456383193167,0.0160074628546028
1209,0,0.00515102582693129,0.02573542601669
1210,0,0.00694603782529458,0.0250900307714454
1211,0,0.00563605105226457,0.039047577662593
1212,0,0.0154568475187743,0.0426142945349451
1213,0,0.0133773914939375,0.0407702455222702
1214,0,0.0204536259879226,0.04484364121963
1215,0,0.0148902167152011,0.0497069249022321
1216,0,0.0283887461629068,0.05773655533172
1217,0,0.0407923642778617,0.0678856778012325
1218,0,0.034641311365985,0.0669167849539325
1219,0,0.0437037033702135,0.0739037881749613
1220,0,0.0341932865768345,0.0814616594654163
1221,0,0.0386083039553441,0.0852912369950427
1222,0,0.038727889602237,0.0899367283049075
1223,0,0.049734674562279,0.0997661686049909
1224,0,0.0451822703380693,0.103754585991645
1225,0,0.0558619856814075,0.104414997991367
1226,0,0.0587358030559764,0.112529688670315
1227,0,0.0490745104425948,0.121527708985875
1228,0,0.0595537868941119,0.127916815027638
1229,0,0.0494626316771011,0.128662116302794
1230,0,0.0678500358130772,0.137896903212895
1231,0,0,0
1232,0,0.0102112204268245,0.0449606350449736
1233,0,0.00561435367578604,0.0501583283232059
1234,0,0.00594466889610223,0.0471105442698767
1235,0,0.0168663098701804,0.0604777633137398
1236,0,0.0357576283205202,0.0628236823755562
1237,0,0.024394894278717,0.0643583581946104
1238,0,0.0341833242001578,0.0685992607986524
1239,0,0.0326699278777865,0.0792060131980256
1240,0,0.0326146653786178,0.0873369070249077
1241,0,0.0374110452980862,0.091612417917158
1242,0,0.0477372084243016,0.0965009223953241
1243,0,0.0598848182633177,0.0987093134211461
1244,0,0.0461099009113645,0.102309918771425
1245,0,0.0687120169131946,0.109057006563656
1246,0,0.0580467464558581,0.116201203544657
1247,0,0.0619992461125935,0.122341139754201
1248,0,0.0488294508115218,0.124803863071632
1249,0,0.056654662686227,0.132200354523281
1250,0,0.0521016109382355,0.130576708966086
1251,0,0.0550045901068115,0.146040913493578
1252,0,0.0608369605352196,0.14547272919846
1253,0,0.0577990673165221,0.151396547434721
1254,0,0.0561144680007086,0.16295463152947
1255,0,0,0
1256,0,0.0138770528496496,0.0699412028290111
1257,0,0.0180153872758058,0.0691276322381041
1258,0,0.0364872559958127,0.0772574278123226
1259,0,0.0299140547141657,0.0817971376283393
1260,0,0.040841071774844,0.0881738363540759
1261,0,0.0378635855219133,0.0885361599494465
1262,0,0.0465018650096543,0.0992750471665591
1263,0,0.0498004309494321,0.108530134990366
1264,0,0.0469306131102291,0.101588073679707
1265,0,0.0476198023315865,0.115592205971405
1266,0,0.0422018134122461,0.119271663330176
1267,0,0.0457399501124444,0.125553566258414
1268,0,0.0614909197596587,0.131122028409786
1269,0,0.0539334294323598,0.129509978696247
1270,0,0.0700262279983559,0.137756562591175
1271,0,0.0476671885188424,0.146845596924806
1272,0,0.0587893166906589,0.153859619327417
1273,0,0.0594456335002778,0.1572579363322
1274,0,0.0482886586804882,0.158377070561612
1275,0,0.071832191677609,0.165395844595327
1276,0,0.0638155788736749,0.174105659283732
1277,0,0.0644069536298199,0.176549292431337
1278,0,0.0723287739989144,0.181692994478185
1279,0,0,0.00346508263156707
1280,0,0.0249999521842646,0.0890922126135818
1281,0,0.0343875135190357,0.100990472779948
1282,0,0.0407890727653701,0.101497795563287
1283,0,0.0404586378825171,0.102427436010313
1284,0,0.0349602839300521,0.111050839679558
1285,0,0.0396944595492499,0.112249940045705
1286,0,0.0454537287700283,0.125454833597494
1287,0,0.04927755818141,0.125493248588445
1288,0,0.0463511975943161,0.129306593060671
1289,0,0.0559307029321977,0.136661382468068
1290,0,0.0688024125731594,0.139932411022969
1291,0,0.0575519042086389,0.150858330006663
1292,0,0.0489437001010253,0.150935425616883
1293,0,0.0701259719810746,0.160326471882774
1294,0,0.0541455205863287,0.16255099989264
1295,0,0.054840948233202,0.167445085025594
1296,0,0.0590174808219208,0.176899501241414
1297,0,0.0746933501298038,0.180438287046736
1298,0,0.0799512550166009,0.186628649362002
1299,0,0.0858064665802487,0.191223081265095
1300,0,0.0803752285913842,0.200023438875908
1301,0,0.0748200152107022,0.197584576263554
1302,0,0.0737687103633923,0.200844514709387
1303,0,0.00613684703466596,0
1304,0,0.0441112376166098,0.119856222356742
1305,0,0.0346278898117228,0.115380363242071
1306,0,0.044481096950457,0.129452577484222
1307,0,0.0392258600117613,0.126548082465436
1308,0,0.0484604354180337,0.13299456664828
1309,0,0.0489121726017795,0.138555157898988
1310,0,0.0512608364964847,0.145481087474939
1311,0,0.0602930068795069,0.148432172201387
1312,0,0.0526167982057978,0.155017583578841
1313,0,0.0623085008739122,0.157056569273643
1314,0,0.0623826845938255,0.165430502186782
