DMU,x
358,0.949623740430595
359,0.94760961960081
360,0.945292684227086
361,0.941910063267422
362,0.939232216824534
363,0.93592801732685
364,0.934380361849574
365,0.930616047678013
366,0.929053609406125
367,0.926816043564766
368,0.924669818498302
369,0.921955681135253
370,1
371,1
372,0.997380733494747
373,0.995436616173325
374,0.994100292048226
375,0.991478994054282
376,0.990127502632064
377,0.987666439698931
378,1
379,0.997848400457385
380,0.992526540317703
381,0.990956675804363
382,0.988760920933138
383,0.985143169763123
384,0.983181994560273
385,0.980772705872117
386,0.978779016179119
387,0.976245591367933
388,0.974261478230874
389,0.998141160373558
390,0.996695521492813
391,0.992662887476378
392,0.990553309034124
393,0.988900511057269
394,0.98283435271695
395,0.982563121857899
396,0.978811303526451
397,0.976275778561243
398,0.974111990568492
399,0.971562733359692
400,0.96882038920218
401,0.966788416749457
402,0.96450012154387
403,0.961940635281497
404,1
405,0.994937110726786
406,0.9923011756856
407,0.989534790057471
408,0.986473159215911
409,0.983330185094602
410,0.980251270077194
411,0.977618424213885
412,0.974803284424397
413,0.972894065553522
414,0.968731068251807
415,0.965765363306392
416,0.964372800422458
417,0.961984428528511
418,0.95749157590821
419,0.95615554685256
420,0.95437343305528
421,0.951305766081296
422,0.948636169524606
423,1
424,0.997020168346846
425,0.993881498204785
426,0.991348582215528
427,0.987257075236871
428,0.984582572694419
429,0.982756560207878
430,0.98009635825507
431,0.976256816128693
432,0.972465050648544
433,0.971062915342735
434,0.967646555290066
435,0.965186228480988
436,0.962439467887037
437,0.958537103860839
438,0.956512967240777
439,0.953923702950535
440,0.949886545477645
441,0.948984102207098
442,0.945504069084147
443,0.943633856404844
444,0.942477042912826
445,0.939527554621224
446,0.935532155242807
447,1
448,0.984167994774049
449,0.980566691488526
450,0.97730139716507
451,0.975046722219282
452,0.972054306360048
453,0.968126787213914
454,0.965521001535284
455,0.963146640907616
456,0.959703312115742
457,0.957498719857612
458,0.955301527863799
459,0.952296810953212
460,0.947432565512676
461,0.94462653989591
462,0.94399018650186
463,0.940822808002655
464,0.938408984944862
465,0.934523334217685
466,0.932240627659536
467,0.930957137926845
468,0.928290682550981
469,0.92553409298364
470,0.922994495906996
471,1
472,0.97327437103966
473,0.96844864890718
474,0.964389819753102
475,0.9610671836792
476,0.957507763937808
477,0.954709419010391
478,0.95246349967331
479,0.950222113860794
480,0.947776317361262
481,0.943696005833262
482,0.940913378544638
483,0.938840149881383
484,0.93555059507815
485,0.932714322674056
486,0.930044919270752
487,0.926344871941122
488,0.925445652966101
489,0.921612051640963
490,0.918437692158423
491,0.916295977892197
492,0.914329495247776
493,0.911223339454389
494,0.909753548877342
495,0.997035496789276
496,0.995370536467916
497,0.993562240766691
498,0.991391019715151
499,0.990178674075103
500,0.997194008562776
501,0.995411086175426
502,0.992033116962325
503,0.987855734260444
504,0.985709186084786
505,0.984840334915522
506,0.980964557790551
507,0.978958403879153
508,0.978629820288138
509,1
510,0.996043378253515
511,0.995303301116023
512,0.989801482859159
513,0.989036860190547
514,0.984555110083159
515,0.980725343712471
516,0.978161805256497
517,0.975745834285011
518,0.972700809105637
519,0.969037015480003
520,0.96851234706961
521,0.966634438374145
522,0.96398694500946
523,1
524,0.995691517864607
525,0.99347705617182
526,0.990174910284491
527,0.986763504280813
528,0.983120407938327
529,0.982309887700742
530,0.978790267084411
531,0.974916175706493
532,0.971461325349574
533,0.96729234478764
534,0.965985728314998
535,0.962780927849492
536,0.959906773326116
537,0.956977774791202
538,0.955308905704341
539,0.952892658866748
540,0.950348837178899
541,0.998186356027738
542,0.996473112054985
543,0.992399679441551
544,0.989503584410759
545,0.985850045264503
546,0.982660125134857
547,0.979981775400004
548,0.975592889314327
549,0.974809535073703
550,0.969579740733421
551,0.968675517199459
552,0.965279772163203
