DMU,V1
961,2401
962,2428
963,2465
964,2495
965,168
966,273
967,321
968,401
969,69.5
970,257
971,347
972,397
973,510
974,555
975,642
976,734
977,785
978,186
979,235
980,351
981,475
982,524
983,637
984,709
985,796
986,885
987,963
988,1008
989,1084
990,1126
991,69.5
992,197
993,284
994,436
995,461
996,589
997,662
998,719
999,833
1000,910
1001,1009
1002,1023
1003,1131
1004,1196
1005,1265
1006,1312
1007,1392
1008,1450
1009,69.5
1010,216
1011,339
1012,423
1013,486
1014,602
1015,691
1016,756
1017,818
1018,919
1019,996
1020,1086
1021,1176
1022,1220
1023,1288
1024,1333
1025,1389
1026,1474
1027,1561
1028,1608
1029,1674
1030,1698
1031,69.5
1032,434
1033,532
1034,641
1035,716
1036,788
1037,920
1038,942
1039,1024
1040,1112
1041,1158
1042,1255
1043,1306
1044,1382
1045,1448
1046,1514
1047,1541
1048,1632
1049,1655
1050,1744
1051,1772
1052,1836
1053,1887
1054,1935
1055,140
1056,862
1057,947
1058,1006
1059,1051
1060,1184
1061,1214
1062,1314
1063,1323
1064,1408
1065,1472
1066,1533
1067,1579
1068,1645
1069,1705
1070,1762
1071,1796
1072,1858
1073,1919
1074,1963
1075,2000
1076,2040
1077,2097
1078,2129
1079,69.5
1080,1173
1081,1236
1082,1324
1083,1374
1084,1457
1085,1488
1086,1582
1087,1635
1088,1689
1089,1733
1090,1804
1091,1828
1092,1884
1093,1940
1094,1990
1095,2022
1096,2074
1097,2131
1098,2157
1099,2214
1100,2236
1101,2277
1102,2317
1103,69.5
1104,1451
1105,1532
1106,1611
1107,1615
1108,1714
1109,1768
1110,1831
1111,1885
1112,1907
1113,1975
1114,2023
1115,2057
1116,2098
1117,2137
1118,2176
1119,2223
1120,2266
1121,2312
1122,2341
1123,2371
1124,2404
1125,2441
1126,2469
1127,69.5
1128,1719
1129,1790
1130,1837
1131,1897
1132,1934
1133,1988
1134,2050
1135,2086
1136,2126
1137,2172
1138,2211
1139,2244
1140,2290
1141,2319
1142,2349
1143,2395
1144,2429
1145,2452
1146,2493
1147,2520
1148,2539
1149,2576
1150,2601
1151,170
1152,219
1153,69.5
1154,199
1155,286
1156,428
1157,483
1158,559
1159,630
1160,183
1161,211
1162,416
1163,480
1164,547
1165,647
1166,724
1167,812
1168,879
1169,971
1170,980
1171,69.5
1172,236
1173,334
1174,422
1175,521
1176,554
1177,690
1178,782
1179,840
1180,901
1181,988
1182,1050
