DMU,V1
1125,1257
1126,990
1127,252
1128,152
1129,689
1130,2387
1131,1003
1132,1674
1133,1378
1134,2643
1135,1852
1136,1391
1137,2367
1138,897
1139,437
1140,593
1141,1199
1142,748
1143,823
1144,554
1145,105
1146,316
1147,1615
1148,169
1149,355
1150,335
1151,2329
1152,1429
1153,838
1154,2623
1155,2603
1156,613
1157,1183
1158,1041
1159,673
1160,1449
1161,2084
1162,317
1163,1872
1164,476
1165,594
1166,2587
1167,457
1168,418
1169,1834
1170,1892
1171,1635
1172,858
1173,1080
1174,2575
1175,709
1176,1021
1177,336
1178,574
1179,2104
1180,1238
1181,537
1182,729
1183,233
1184,1060
1185,1410
1186,1820
1187,2124
1188,2348
1189,2068
1190,253
1191,2315
1192,1599
1193,438
1194,356
1195,2056
1196,1004
1197,1675
1198,419
1199,1392
1200,690
1201,318
1202,878
1203,825
1204,824
1205,1430
1206,1655
1207,2144
1208,839
1209,674
1210,1835
1211,1853
1212,1616
1213,1219
1214,1061
1215,1258
1216,2624
1217,538
1218,458
1219,918
1220,1022
1221,555
1222,170
1223,2085
1224,2330
1225,1873
1226,2604
1227,234
1228,2388
1229,2664
1230,1821
1231,477
1232,749
1233,2588
1234,1239
1235,614
1236,1081
1237,235
1238,254
1239,898
1240,575
1241,710
1242,1200
1243,420
1244,1600
1245,730
1246,1184
1247,2368
1248,337
1249,1411
1250,2069
1251,439
1252,859
1253,1893
1254,1636
1255,1042
1256,1450
1257,2316
1258,171
1259,2125
1260,319
1261,1854
1262,1379
1263,2105
1264,357
1265,1005
1266,899
1267,879
1268,539
1269,2644
1270,2086
1271,1656
1272,338
1273,675
1274,478
1275,2576
1276,840
1277,691
1278,1470
1279,1617
1280,459
1281,595
1282,556
1283,1601
1284,1185
1285,1220
1286,711
1287,1676
1288,1023
1289,2349
1290,860
1291,1259
1292,1201
1293,421
1294,2589
1295,576
1296,919
1297,2605
1298,1393
1299,1874
1300,615
1301,2145
1302,1240
1303,2389
1304,236
1305,172
1306,1043
1307,2070
1308,2369
1309,1637
1310,1431
1311,1894
1312,1006
1313,255
1314,1062
1315,880
1316,1836
1317,540
1318,750
1319,2317
1320,479
1321,1822
1322,770
1323,1063
1324,1082
1325,731
1326,2645
1327,440
1328,1412
1329,1186
1330,1451
1331,557
1332,358
1333,1024
1334,841
1335,900
1336,2331
1337,237
1338,751
1339,1471
1340,2625
1341,2665
1342,692
1343,320
1344,441
1345,1394
1346,1855
1347,712
1348,339
1349,1432
1350,173
1351,2106
1352,596
1353,2590
1354,422
1355,1657
1356,2350
1357,1260
1358,1638
1359,1618
1360,1221
1361,256
1362,321
1363,1914
1364,2126
1365,1677
1366,2087
1367,881
1368,771
1369,1241
1370,2606
1371,577
1372,480
1373,1602
1374,1083
1375,359
1376,1837
1377,597
1378,558
1379,861
1380,460
1381,174
1382,1044
1383,616
1384,2071
1385,2318
1386,1413
1387,1452
1388,920
1389,1025
1390,2332
1391,2370
1392,1007
1393,1202
1394,238
1395,1875
1396,2390
1397,862
1398,732
1399,1280
1400,1603
1401,693
1402,842
1403,1619
1404,2146
1405,340
1406,1856
1407,2410
1408,1064
1409,442
1410,2107
1411,1895
1412,1395
1413,2626
1414,1472
1415,341
1416,360
1417,1658
1418,1678
1419,1433
1420,1838
1421,2646
1422,578
1423,257
1424,1915
1425,752
1426,1222
1427,1281
1428,2351
1429,1261
1430,559
1431,2088
1432,2333
1433,921
1434,2127
1435,461
1436,901
1437,2607
1438,2666
1439,1876
1440,1414
1441,2072
1442,617
1443,2591
1444,462
1445,882
1446,2147
1447,598
1448,1045
1449,713
1450,1008
1451,1104
1452,772
1453,481
1454,443
1455,1242
1456,843
1457,1084
1458,1453
1459,1698
1460,1203
1461,694
1462,258
1463,1639
1464,2108
1465,733
1466,902
1467,2391
1468,1896
1469,1262
1470,1434
1471,1396
1472,1065
1473,1659
1474,1026
1475,753
1476,1223
1477,560
1478,444
1479,579
1480,1857
1481,695
1482,863
1483,2371
1484,361
1485,1620
1486,773
1487,1473
1488,1085
1489,342
1490,618
1491,714
1492,2352
1493,2647
1494,1415
1495,599
1496,844
1497,2089
1498,734
1499,922
1500,1916
1501,2667
1502,2128
1503,482
1504,463
1505,2411
1506,1454
1507,580
1508,1839
1509,1204
1510,2627
1511,2608
1512,343
1513,2168
1514,1046
1515,2334
1516,259
1517,1243
1518,1679
1519,942
1520,2073
1521,2372
1522,1877
1523,1282
1524,561
1525,1640
1526,1621
1527,1397
1528,1699
1529,619
1530,2592
1531,1474
1532,1105
1533,1066
1534,445
1535,883
1536,362
1537,696
1538,2109
1539,864
1540,1897
1541,1047
1542,715
1543,1660
1544,483
1545,1840
1546,1224
1547,2148
1548,2392
1549,2628
1550,903
1551,1858
1552,464
1553,735
1554,2353
1555,2090
1556,1917
1557,1263
1558,1435
1559,754
1560,2688
1561,1027
1562,1455
1563,1205
1564,260
1565,2412
1566,2609
1567,774
1568,1244
1569,923
1570,2129
1571,1878
1572,1680
1573,1494
1574,1416
1575,2335
1576,600
1577,884
1578,2648
1579,1067
1580,755
1581,562
1582,1086
1583,261
1584,943
1585,2668
1586,581
1587,344
1588,2593
1589,1641
1590,716
1591,2149
1592,904
1593,865
1594,1898
1595,1700
1596,363
1597,620
1598,1225
1599,2110
1600,1436
1601,1475
1602,2373
1603,1283
1604,484
1605,1622
1606,446
1607,1841
1608,1028
1609,1859
1610,1264
1611,1106
1612,1661
1613,2354
1614,2169
1615,1107
1616,1417
1617,601
1618,465
1619,582
1620,262
1621,1495
1622,775
1623,924
1624,364
1625,2629
1626,1642
1627,885
1628,2130
1629,2669
1630,736
1631,345
1632,1048
1633,2091
1634,2393
1635,1087
1636,1206
1637,756
1638,1681
1639,2610
1640,1245
1641,1938
1642,2413
1643,1456
1644,2336
1645,1068
1646,1226
1647,717
1648,1284
1649,2649
1650,1879
1651,1701
1652,485
1653,621
1654,2150
1655,1049
1656,1623
1657,2355
1658,1662
1659,602
1660,718
1661,1918
1662,2111
1663,2630
1664,866
1665,466
1666,905
1667,1437
1668,2689
1669,1476
1670,1265
1671,944
1672,1899
1673,1880
1674,1029
1675,2374
1676,1860
1677,1304
1678,2170
1679,925
1680,583
1681,1246
1682,776
1683,886
1684,1418
1685,2092
1686,622
1687,467
1688,737
1689,1088
1690,1285
1691,2131
1692,945
1693,1496
1694,365
1695,2611
1696,757
1697,1643
1698,1030
1699,1919
1700,1457
1701,486
1702,1682
1703,906
1704,584
1705,1069
1706,867
1707,2394
1708,1624
1709,2337
1710,1722
1711,2375
1712,2112
1713,2650
1714,1108
1715,2356
1716,1861
1717,2631
1718,1939
1719,1128
1720,2670
1721,1477
1722,366
1723,1663
1724,1702
1725,2690
1726,2414
1727,2151
1728,603
1729,2434
1730,2093
1731,1438
1732,1266
1733,1089
1734,868
1735,468
1736,777
1737,1305
1738,1458
1739,887
1740,926
1741,1900
1742,738
1743,1644
1744,1050
1745,604
1746,1227
1747,1920
1748,585
1749,623
1750,1247
1751,2612
1752,719
1753,1419
1754,1497
1755,946
1756,2094
1757,1286
1758,2132
1759,758
1760,367
1761,2651
1762,1070
1763,1881
1764,2171
1765,487
1766,2395
1767,720
1768,1109
1769,1478
1770,1683
1771,1862
1772,1051
1773,907
1774,1267
1775,2415
1776,1664
1777,2152
1778,469
1779,2376
1780,488
1781,1228
1782,2113
1783,1940
1784,888
1785,1439
1786,2435
1787,2632
1788,1306
1789,2357
1790,1129
1791,1248
1792,1703
1793,778
1794,368
1795,624
1796,1071
1797,2172
1798,739
1799,1420
1800,927
1801,2671
1802,2691
1803,586
1804,1090
1805,1459
1806,1901
1807,1723
1808,1882
1809,1684
1810,1498
1811,1645
1812,759
1813,2192
1814,2613
1815,605
1816,2133
1817,1287
1818,908
1819,1863
1820,2377
1821,947
1822,2396
1823,1268
1824,470
1825,740
1826,1921
1827,1307
1828,1091
1829,1941
1830,1440
1831,1110
1832,779
1833,2652
1834,1229
1835,1665
1836,1052
1837,1130
1838,1479
1839,369
1840,625
1841,2153
1842,2358
1843,2633
1844,1902
1845,1704
1846,1518
1847,2436
1848,489
1849,2114
1850,2692
1851,2712
1852,1646
1853,889
1854,1883
1855,928
1856,1288
1857,760
1858,1072
1859,1460
1860,2173
1861,1249
1862,2416
1863,2672
1864,1864
1865,1922
1866,2397
1867,606
1868,780
