DMU,(O)Demand,(O)PctDemand s,(O)Risk
1133,0.875075,1.02210049176277,1.80242931216893
1134,0.876819,1.02314934043024,1.80880820221251
1135,0.8798,1.02574029064437,1.81506971747744
1136,0.882486,1.02801476003087,1.82007788228527
1137,0.884797,1.02985801547351,1.82431613079043
1138,0.887489,1.03215025590721,1.8293433773961
1139,0.890192,1.0344603410237,1.83439644043507
1140,0.891772,1.03547141751932,1.83713909146269
1141,0.894875,1.03825643217496,1.84302271001249
1142,0.897306,1.04026642376966,1.84752521540448
1143,0.898475,1.04081964736051,1.84943321871416
1144,0.900725,1.04263148482304,1.85357031867986
1145,0.903714,1.04530339814295,1.85923107265583
1146,0.90515,1.04618426105541,1.86170008076978
1147,0.907322,1.04792168127267,1.8656865407381
1148,0.910064,1.05032210388181,1.87084797475109
1149,0.911047,1.05037455962764,1.87306232532111
1150,0.912511,1.05135780634905,1.87626169886474
1151,0.801372,0.910193,1.369185
1152,0.805319,0.907063,1.373904
1153,0.803083,0.914346,1.394753
1154,0.805256,0.926983,1.4054418884747
1155,0.808464,0.929656,1.41305621595494
1156,0.810525,0.926118,1.42089598406199
1157,0.814417,0.92711339155931,1.43340432611369
1158,0.817056,0.930058,1.393398
1159,0.820169,0.92269,1.393458
1160,0.804028,0.930649898903702,1.43112969115788
1161,0.80865,0.937726,1.44195871250581
1162,0.809136,0.931943028479266,1.43740760100158
1163,0.812967,0.933435101592735,1.44118298097538
1164,0.816808,0.93525817741992,1.4473088645974
1165,0.819656,0.936212829051277,1.4536029440821
1166,0.822603,0.937933521484137,1.46099485721627
1167,0.825147,0.940791321733655,1.46997606906438
1168,0.828158,0.944181852816197,1.4797599983681
1169,0.830236,0.946410102969799,1.48796574496498
1170,0.834711,0.929004,1.418065
1171,0.802394,0.939184,1.446326
1172,0.805089,0.940982078942225,1.45228117196563
1173,0.808444,0.943561835501088,1.45941858942999
1174,0.811708,0.946044489321057,1.46638436418833
1175,0.814467,0.94794843141891,1.47242985362792
1176,0.819319,0.95229552508864,1.48225339039144
1177,0.821039,0.953010869205468,1.48640379623384
1178,0.823792,0.953408309889707,1.48854787016467
1179,0.827778,0.955159908440026,1.49296419719393
1180,0.8309,0.956430304924292,1.49964420597591
1181,0.833706,0.957352888545025,1.5057467181153
1182,0.837303,0.959198092383086,1.51327140911871
1183,0.838664,0.958499665326152,1.51674689281634
1184,0.840861,0.960021238620138,1.52355117744941
1185,0.844358,0.963963746076943,1.53406048935648
1186,0.847481,0.919397,1.448292
1187,0.803517,0.94946,1.470351
1188,0.805697,0.944183,1.47898585507482
1189,0.808458,0.946091993545396,1.48490374865662
1190,0.812811,0.953013014086885,1.49030046453362
1191,0.815983,0.956987856163408,1.49520140540136
1192,0.819225,0.959974351861997,1.50170532767808
1193,0.821769,0.962149247988234,1.5069253938987
1194,0.826428,0.966805261613777,1.51602053058148
1195,0.828022,0.967446273859794,1.51976469522435
1196,0.832039,0.97083450298835,1.5280087722681
1197,0.834906,0.972888604663915,1.53413577156942
1198,0.837681,0.973854227151927,1.5375811812954
1199,0.842011,0.976333740046199,1.54487578143905
1200,0.844119,0.976449207845543,1.54959796329694
1201,0.847133,0.977630111613079,1.55597695508624
1202,0.848769,0.977239046337125,1.55981817940023
1203,0.851375,0.977983846497136,1.5654350244547
1204,0.854669,0.979533276185022,1.57231165139095
1205,0.857733,0.980831944371597,1.57876044169384
1206,0.859247,0.982200324674812,1.58503998178988
1207,0.804303,0.947156,1.492698
1208,0.806725,0.943124563831932,1.5091904628546
1209,0.810328,0.947594025826931,1.51564742601669
1210,0.813856,0.951974037825295,1.52196603077145
1211,0.817353,0.956316051052265,1.52822857766259
1212,0.819661,0.959264847518774,1.53227029453495
1213,0.823283,0.966867391493937,1.53377324552227
1214,0.826422,0.971854625987923,1.53708264121963
1215,0.829689,0.974871216715201,1.54354992490223
1216,0.831706,0.976425746162907,1.54768855533172
1217,0.835164,0.979678364277862,1.55450567780123
1218,0.839206,0.983620311365985,1.56240778495393
1219,0.841792,0.985860703370213,1.56759678817496
1220,0.844736,0.988526286576835,1.57344965946542
1221,0.847225,0.990665303955344,1.57845223699504
