DMU,v1,v2,v3
303,1.06351760141285,0.142037929680912,0
304,1.22175648977957,0,0
305,1.21315210548277,0,0
306,1.20466806868836,0,0
307,1.19630187202302,0,0
308,1.18805107728594,0,0
309,1.1799133130799,0,0
310,1.17188627253885,0,0
311,1.16407448484899,0,0
312,1.15652423674723,0,0
313,1.14907130008795,0,0
314,1.14173652655975,0,0
315,1.13476065798416,0,0
316,1.12809650769735,0,0
317,1.12151017401086,0,0
318,1.11500030185149,0,0
319,1.10856556742691,0,0
320,1.10220467732817,0,0
321,1.09633358503782,0,0
322,0,0.714859321659289,0.175332399295853
323,1.18889771204221,0.0373999898110335,0
324,0.968460811110287,0.215630964680015,0
325,1.21182109949803,0,0
326,1.20290525869779,0,0
327,1.19442496135974,0,0
328,1.18608849079033,0,0
329,1.17786758219308,0,0
330,1.16975984919037,0,0
331,1.16176297066093,0,0
332,1.15387468852446,0,0
333,1.14609280561582,0,0
334,1.1384151836447,0,0
335,1.13118572141269,0,0
336,1.12413553323927,0,0
337,1.11717268223886,0,0
338,1.11029555551271,0,0
339,1.10363657148374,0,0
340,1.09729779308313,0,0
341,1.09103141288779,0,0
342,1.08483619759922,0,0
343,1.07874396042439,0,0
344,1.0727197668583,0,0
345,1.06696010203393,0,0
346,1.22084023108063,0,0
347,1.19709521978635,0,0
348,1.18707057341535,0,0
349,1.17739778278078,0,0
350,1.16897951981414,0,0
351,1.1606807815438,0,0
352,1.15275972825462,0,0
353,1.14499282634357,0,0
354,1.13732988545111,0,0
355,1.12976883215562,0,0
356,1.12230764780834,0,0
357,1.11494436673667,0,0
358,1.10767707451759,0,0
359,1.10065580997978,0,0
360,1.09374442794445,0,0
361,1.08705218379683,0,0
362,1.08053981055021,0,0
363,1.07417424231408,0,0
364,1.06816846167592,0,0
365,1.06222946509284,0,0
366,1.05635614476989,0,0
367,1.05054741727842,0,0
368,1.04480222288986,0,0
369,1.03911952493118,0,0
370,1.24350115210382,0,0
371,0.966569014767045,0.03091533420613,0.121148083821895
372,1.24171559444665,0,0
373,1.23408525732078,0,0
374,1.22090777758906,0.00493797037646084,0
375,1.21910249783692,0,0
376,1.20620483926777,0.00487850423560141,0
377,1.0652006136206,0.123080613477817,0
378,1.24689849270234,0,0
379,1.23764603211842,0,0
380,1.22862836789048,0,0
381,1.21992726380233,0,0
382,1.21151044237947,0,0
383,1.20377964840621,0,0
384,1.19625542146695,0,0
385,1.18885142685948,0,0
386,1.18157369020399,0,0
387,1.17466253958002,0,0
388,1.16796496354275,0,0
389,1.24436643574785,0,0
390,1.23515137580247,0,0
391,0.944122532434124,0.242168980195815,0
392,1.21712472864569,0,0
393,1.20849786696098,0,0
394,1.20007857714497,0,0
395,1.19177578571278,0,0
396,1.18362021022334,0,0
397,1.17581513429759,0,0
398,1.16845111730162,0,0
399,1.16133816409363,0,0
400,1.15431128718655,0,0
401,1.14741302824386,0,0
402,1.14059957042169,0,0
403,1.13386655297765,0,0
404,0.746057822690394,0.326131245488538,0.0518784864561708
405,1.23266675594478,0,0
406,1.22362353389851,0,0
407,1.21471203321461,0,0
408,1.20592939676939,0,0
409,1.1972806444089,0,0
410,1.18901638975862,0,0
