DMU,u1,u2,u3
1516,0.000250410747986569,0.0164658176630082,5.67690911801638e-05
1517,0.000132110302779644,0.00735282158283686,0.00556442693532914
1518,0.00028980588380068,0.0168304065894941,6.83437102902421e-05
1519,0.00028500409430528,0.0170897844102812,6.59489310083813e-05
1520,0.000283136837131488,0.0169778175186601,6.55168543575898e-05
1521,0.000281205073132253,0.0168785988585543,6.50699069665724e-05
1522,0.000279387103846756,0.0167694800081535,6.46492349959081e-05
1523,0.00027759248963719,0.0166617629850866,6.4233967311166e-05
1524,0.000275820783319243,0.0165554209482852,6.38240004354025e-05
1525,0.000274071549052637,0.0164504277375766,6.34192335166445e-05
1526,0.000272344361983679,0.0163467578522295,6.30195682451787e-05
1527,0.000270638807901246,0.0162443864303049,6.26249087739459e-05
1528,0.000265597742290713,0.0166764192117923,6.02276897560874e-05
1529,0.000264007684996197,0.0165765822862768,5.98671238996062e-05
1530,0.000262436552833767,0.0164779336368125,5.95108495592128e-05
1531,0.000257108714691373,0.0169062440399146,5.82875463009765e-05
1532,0.00025561877556973,0.0168082727423438,5.794977130318e-05
1533,0.000254146005281362,0.0167114303854454,5.76158885467087e-05
1534,0.000252690108767005,0.0166156975675276,5.7285831140479e-05
1535,0.000251250797689968,0.016521055328944,5.69595337174414e-05
1536,0.000249827790245762,0.0164274851395739,5.6636932391421e-05
1537,0.000248420810978164,0.0163349688867285,5.63179647154202e-05
1538,0.000247029590601447,0.0162434888634619,5.6002569641317e-05
1539,0.000245653865828575,0.0161530277572722,5.56906874809149e-05
1540,0.000244293379205078,0.0160635686391811,5.53822598682835e-05
1541,0.000114785708461526,0.00681479133577505,0.00595033264312611
1542,0.000267371425955541,0.0181747792570114,6.49388591174293e-05
1543,0.000265646348873088,0.018057515809495,6.45198744139451e-05
1544,0.000263943389439187,0.0179417558262276,6.41062616190642e-05
1545,0.000262262124999389,0.0178274705769464,6.3697918078968e-05
1546,0.000260602143599966,0.0177146320587785,6.32947437388177e-05
1547,0.000258963043651392,0.0176032129733656,6.28966410610188e-05
1548,0.000257344433604444,0.0174931867048468,6.25035149465545e-05
1549,0.000266760405301936,0.0160115954605099,6.17274594729609e-05
1550,0.000265123863050758,0.0159133662932157,6.13487691070834e-05
1551,0.000256494192324356,0.016865835977056,5.81482316886208e-05
1552,0.000255011346438761,0.0167683310968907,5.78120647550434e-05
1553,0.000253545547278996,0.0166719471281939,5.74797623805582e-05
1554,0.000252096502572513,0.0165766648525153,5.71512583058416e-05
1555,0.000250663926690289,0.0164824654882517,5.6826487777682e-05
1556,0.000249247540459137,0.0163893306783043,5.65053875064311e-05
1557,0.000247847070980329,0.0162972424781529,5.61878956248852e-05
1558,0.000246462251454309,0.0162061833443301,5.58739516485475e-05
1559,0.000245092821011252,0.0161161361232785,5.55634964372121e-05
1560,0.000243738524547222,0.0160270840405799,5.52564721578246e-05
1561,0.000242399112565766,0.0159390106905353,5.49528222485674e-05
1562,0.000241074341024663,0.0158519000260918,5.46524913841204e-05
1563,0.000239763971187707,0.0157657363490936,5.43554254420546e-05
1564,0.000238467769481271,0.0156805043008515,5.40615714703215e-05
1565,0.000385824488297864,0.0167263624020094,7.45004168966317e-05
1566,0.000347475652998044,0.0199564688620259,6.48488147226189e-05
1567,0.000345488370751794,0.0198683139578804,6.3957849527108e-05
1568,0.000350818457978065,0.0187706759447964,7.41336888526561e-05
1569,0.000346080100450242,0.0189942365551634,7.13700675086283e-05
1570,0.000354535362485532,0.0190334444353168,6.14908019069586e-05
1571,0.000338877174654923,0.0186842242771805,7.23273666378559e-05
1572,0.00033645961689922,0.0189617020302679,6.80556798798791e-05
1573,0.000340550922116208,0.019187788820616,6.06404054891261e-05
1574,0.000333715736649637,0.0191661995588912,6.22808239636181e-05
1575,0.000351817859599988,0.0187198391024142,7.52895604244123e-05
1576,0.00034293435852359,0.0189129694650515,7.66707663668464e-05
1577,0.000345834192201786,0.0185458286091733,7.35547596759031e-05
1578,0.000343308991167793,0.0184104112715123,7.30176798862904e-05
1579,0.000338964265423672,0.01839332902093,7.27570714387599e-05
1580,0.000334796174187355,0.0184592155314926,7.1456348938397e-05
1581,0.000332420816402232,0.0183282485590462,7.09493706398569e-05
1582,0.000330078927187688,0.0181991268990777,7.04495356184569e-05
1583,0.000325784346744717,0.0186047766387791,6.62990224320678e-05
1584,0.000323638654105872,0.0184822411864774,6.58623614143835e-05
1585,0.000321521040607987,0.0183613092677739,6.54314146663229e-05
1586,0.000322938761965436,0.0185472486831781,6.02695347451183e-05
1587,0.000342232978890117,0.0194204993802315,8.00215577139779e-05
