DMU,peer1,peer2,peer3,peer4,peer5
347,153,322,423,NA,NA
348,153,301,423,NA,NA
349,73,153,301,NA,NA
350,73,153,301,NA,NA
351,73,153,301,NA,NA
352,73,188,301,NA,NA
353,73,188,301,NA,NA
354,73,188,301,NA,NA
355,73,188,301,NA,NA
356,73,188,301,NA,NA
357,73,188,301,NA,NA
358,73,188,301,NA,NA
359,73,111,188,NA,NA
360,73,111,188,NA,NA
361,111,179,188,NA,NA
362,111,179,188,NA,NA
363,106,111,179,NA,NA
364,106,111,179,NA,NA
365,106,111,179,NA,NA
366,106,111,179,NA,NA
367,106,111,179,NA,NA
368,106,111,179,NA,NA
369,58,106,111,NA,NA
370,6,370,635,793,NA
371,371,NA,NA,NA,NA
372,263,370,371,NA,NA
373,263,370,371,NA,NA
374,263,370,371,635,NA
375,263,370,371,NA,NA
376,263,370,371,635,NA
377,263,264,265,370,NA
378,301,371,659,NA,NA
379,301,371,659,NA,NA
380,188,301,371,NA,NA
381,188,301,371,NA,NA
382,179,188,371,NA,NA
383,175,179,371,NA,NA
384,175,263,371,NA,NA
385,175,263,371,NA,NA
386,263,370,371,NA,NA
387,263,370,371,NA,NA
388,263,264,370,NA,NA
389,301,371,659,NA,NA
390,301,371,659,NA,NA
391,301,371,404,509,NA
392,301,371,659,NA,NA
393,188,301,371,NA,NA
394,188,301,371,NA,NA
395,188,301,371,NA,NA
396,179,188,371,NA,NA
397,179,188,371,NA,NA
398,175,179,371,NA,NA
399,175,179,371,NA,NA
400,175,179,371,NA,NA
401,175,263,371,NA,NA
402,175,263,371,NA,NA
403,175,263,371,NA,NA
404,301,404,676,NA,NA
405,301,371,659,NA,NA
406,301,371,659,NA,NA
407,301,371,659,NA,NA
408,301,371,659,NA,NA
409,188,301,371,NA,NA
410,188,301,371,NA,NA
411,188,301,371,NA,NA
412,188,301,371,NA,NA
413,188,301,371,NA,NA
414,188,301,371,NA,NA
415,179,188,371,NA,NA
416,179,188,371,NA,NA
417,175,179,371,NA,NA
418,175,179,371,NA,NA
419,175,179,371,NA,NA
420,175,179,371,NA,NA
421,175,263,371,NA,NA
422,175,263,371,NA,NA
423,423,NA,NA,NA,NA
424,301,423,659,NA,NA
425,301,423,659,NA,NA
426,301,423,659,NA,NA
427,301,371,659,NA,NA
428,301,371,659,NA,NA
429,301,371,659,NA,NA
430,301,371,659,NA,NA
431,188,301,371,NA,NA
432,188,301,371,NA,NA
433,188,301,371,NA,NA
434,188,301,371,NA,NA
435,188,301,371,NA,NA
436,188,301,371,NA,NA
437,188,301,371,NA,NA
438,179,188,371,NA,NA
439,179,188,371,NA,NA
440,179,188,371,NA,NA
441,175,179,371,NA,NA
442,175,179,371,NA,NA
443,175,179,371,NA,NA
444,175,179,371,NA,NA
445,175,179,371,NA,NA
446,175,179,371,NA,NA
447,447,NA,NA,NA,NA
448,153,301,423,NA,NA
449,301,423,659,NA,NA
450,301,423,659,NA,NA
451,301,371,659,NA,NA
452,301,371,659,NA,NA
453,188,301,371,NA,NA
454,188,301,371,NA,NA
455,188,301,371,NA,NA
456,188,301,371,NA,NA
457,188,301,371,NA,NA
458,188,301,371,NA,NA
459,188,301,371,NA,NA
460,188,301,371,NA,NA
461,188,301,371,NA,NA
462,179,188,371,NA,NA
463,179,188,371,NA,NA
464,179,188,371,NA,NA
465,175,179,371,NA,NA
466,175,179,371,NA,NA
467,175,179,371,NA,NA
468,175,179,371,NA,NA
469,106,175,179,NA,NA
470,106,175,179,NA,NA
471,471,NA,NA,NA,NA
472,153,301,423,NA,NA
473,153,301,423,NA,NA
474,153,301,423,NA,NA
475,73,188,301,NA,NA
476,188,301,371,NA,NA
477,188,301,371,NA,NA
478,188,301,371,NA,NA
479,188,301,371,NA,NA
480,188,301,371,NA,NA
481,188,301,371,NA,NA
482,188,301,371,NA,NA
483,188,301,371,NA,NA
484,188,301,371,NA,NA
485,179,188,371,NA,NA
486,179,188,371,NA,NA
487,179,188,371,NA,NA
488,111,179,188,NA,NA
489,106,111,179,NA,NA
490,106,175,179,NA,NA
491,106,175,179,NA,NA
492,106,175,179,NA,NA
493,106,175,179,NA,NA
494,106,175,179,NA,NA
495,370,371,635,NA,NA
496,263,371,635,636,NA
497,370,371,635,NA,NA
498,263,370,635,636,NA
499,370,635,793,NA,NA
500,201,371,636,800,NA
501,371,635,659,NA,NA
502,201,371,636,800,NA
503,371,635,659,NA,NA
504,370,371,635,NA,NA
505,370,371,635,NA,NA
506,370,371,635,NA,NA
507,370,371,635,NA,NA
508,263,370,635,636,NA
509,301,371,509,800,NA
510,301,371,509,659,NA
511,201,371,509,800,NA
512,301,371,659,NA,NA
513,301,371,659,NA,NA
514,301,371,659,NA,NA
515,371,635,659,NA,NA
516,371,635,659,NA,NA
517,371,635,659,NA,NA
518,370,371,635,NA,NA
519,370,371,635,NA,NA
520,263,370,371,NA,NA
521,263,370,371,NA,NA
522,263,370,371,NA,NA
523,523,NA,NA,NA,NA
524,301,371,659,NA,NA
525,301,371,659,NA,NA
526,301,371,659,NA,NA
527,301,371,659,NA,NA
528,301,371,659,NA,NA
529,301,371,659,NA,NA
530,301,371,659,NA,NA
531,531,NA,NA,NA,NA
532,301,371,659,NA,NA
533,301,371,659,NA,NA
